id,sponsor,program,opportunity_type,deadline,award_amount,eligibility,topic_summary,keywords,source_url,notes
opp-samsung-gro-2026,Samsung Electronics,Samsung Global Research Outreach 2026,Sponsored research,2026-08-23,"One-year sponsored research; amount confirmed during sponsor engagement","University professors and researchers; sponsoring university must accept the Samsung research agreement","Samsung seeks university proposals in six research themes including advanced materials and interfaces for device-level thermal management.","thermal management; electronics cooling; advanced materials; semiconductor packaging; heat transfer; artificial intelligence; energy storage",https://semiconductor.samsung.com/sait/event/global-research-outreach/,Public call checked August 12 2026. Proposals must be non-confidential and non-proprietary; university agreement review is a gate.
opp-doe-sc-continuation-2026,U.S. Department of Energy Office of Science,FY 2026 Continuation Solicitation for the Office of Science Financial Assistance Program,Funding opportunity,2026-09-30,Project-dependent,"Eligible applicants and topical fit depend on the Office of Science program; verify with the current FOA and program office","Open continuation solicitation for Office of Science financial assistance; a concept must map to a specific SC program and research area.","energy systems; thermal transport; materials; computational science; scientific machine learning; diagnostics; manufacturing",https://science.osti.gov/grants/FOAs/Open,Public FOA listing checked August 12 2026. Pre-applications are optional but encouraged; use only after program-level scope confirmation.
opp-nsf-ai-datasets-2026,National Science Foundation,Unlocking the Potential of Data for AI-Enabled Scientific Discovery,Program solicitation,2026-11-04,"Planning up to $200k; Impact up to $2M; Flagship up to $5M","Organizations eligible under NSF 26-512; confirm institutional and project eligibility","Supports work that increases the value and usability of existing scientific datasets for AI-enabled discovery through data preparation governance and research community engagement.","scientific datasets; artificial intelligence; data governance; metadata; data pipelines; sensing; thermal management; diagnostics",https://www.nsf.gov/funding/opportunities/ai-datasets-unlocking-dataset-value-ai-enabled-scientific-discovery/nsf26-512/solicitation,NSF 26-512 checked August 12 2026. Existing datasets and a credible governance and reuse plan are central.
opp-nsf-sbir-sttr-2026,National Science Foundation,NSF SBIR/STTR Phase I,Small-business innovation,2026-11-04,"Phase I funding varies by track; see NSF 26-510","Small business leads; university participation must fit the SBIR or STTR structure","Supports technology commercialization by qualified small businesses. Relevant for faculty startup collaborations in thermal systems sensing AI software and advanced manufacturing.","startup; commercialization; thermal management; sensors; artificial intelligence; energy systems; advanced manufacturing",https://www.nsf.gov/funding/opportunities/small-business-innovation-research-small-business-technology,NSF 26-510 checked August 12 2026. This is not a standard university-led proposal route.
opp-dow-durip-2027,Department of War,FY 2027 Defense University Research Instrumentation Program,Equipment acquisition,2026-11-06,"$50k to $3M","Accredited U.S. institutions of higher education with science or engineering programs","Funds instrumentation that enables defense-relevant research and supports a compelling equipment need rather than routine laboratory replacement.","research instrumentation; thermal diagnostics; flow diagnostics; multiphase flow; high voltage; power electronics; materials characterization",https://www.grants.gov/search-results-detail/363379,Grants.gov record checked August 12 2026. Start with a shared capability gap and usage commitments before selecting equipment.
opp-nsf-transport-phenomena-2026,National Science Foundation,Transport Phenomena,Core program,2026-12-31,Discuss scope and budget with the program officer,"NSF-eligible organizations; institutional routing and program fit required","Supports fundamental transport research across scales including heat mass and momentum transfer with connections to manufacturing microelectronics and emerging applications.","heat transfer; mass transfer; momentum transfer; thermal management; multiphase flow; energy systems; manufacturing; modeling",https://www.nsf.gov/funding/opportunities/transport-phenomena,Program page checked August 12 2026. Full proposals are accepted anytime; date is an internal planning horizon not a sponsor deadline.
opp-nsf-thermal-transport-2026,National Science Foundation,Thermal Transport Processes,Core program,2026-12-31,Discuss scope and budget with the program officer,"NSF-eligible organizations; institutional routing and program fit required","Supports fundamental research on thermal transport phenomena and processes across length and time scales.","thermal transport; heat transfer; phase change; thermal management; electronics cooling; energy systems; materials; modeling",https://www.nsf.gov/funding/opportunities/ttp-thermal-transport-processes,Program page checked August 12 2026. Full proposals are accepted anytime; date is an internal planning horizon not a sponsor deadline.
opp-nsf-fluid-dynamics-2026,National Science Foundation,Fluid Dynamics,Core program,2026-12-31,Discuss scope and budget with the program officer,"NSF-eligible organizations; institutional routing and program fit required","Supports fundamental fluid dynamics research including flows relevant to energy manufacturing and engineered systems.","fluid dynamics; flow diagnostics; multiphase flow; turbulence; thermal fluids; computational fluid dynamics; sensing; modeling",https://www.nsf.gov/funding/opportunities/fluid-dynamics,Program page checked August 12 2026. Full proposals are accepted anytime; date is an internal planning horizon not a sponsor deadline.
opp-nsf-epscor-planning-2026,National Science Foundation,EPSCoR E-RISE and E-CORE Planning Proposals,Planning proposal,2026-12-31,Planning scope and budget follow NSF PAPPG,"EPSCoR jurisdiction and institutional eligibility confirmation required","Provides a planning-proposal route to prepare research-infrastructure and multi-institution concepts for future EPSCoR E-RISE or E-CORE opportunities.","EPSCoR; research infrastructure; energy systems; advanced manufacturing; artificial intelligence; data; workforce development; collaboration",https://www.nsf.gov/funding/opportunities/dcl-planning-proposals-nsf-established-program-stimulate,NSF planning DCL checked August 12 2026. Accepted anytime; date is an internal planning horizon and no future competition is guaranteed.
opp-nist-chips-crdo-baa-2026,National Institute of Standards and Technology,CHIPS Research and Development Office Broad Agency Announcement,Rolling BAA,2029-09-30,Project-dependent,"Eligibility and a sponsor invitation path must be confirmed from the BAA and white-paper process","CHIPS CRDO invites white papers for semiconductor R&D including advanced packaging manufacturing and related technology gaps; selected concepts may be invited to advance.","semiconductors; advanced packaging; thermal management; electronics cooling; materials; manufacturing; power electronics; metrology",https://www.nist.gov/chips/chips-rd-funding-opportunities/crdo-broad-agency-announcement-baa,BAA and FAQ checked August 12 2026. White paper is required; a full investment application is invitation-only.
opp-doe-genesis-phaseii-2026,U.S. Department of Energy Office of Science,The Genesis Mission FY 2026 SBIR Phase II,Small-business innovation,2026-12-17,See DOE SBIR Phase II solicitation,"Only prior FY 2026 Genesis Mission Phase I awardees can lead; faculty route is through a qualified company","Phase II route for eligible prior Phase I small businesses working on DOE mission-relevant technologies including AI-enabled science and energy applications.","startup; artificial intelligence; energy systems; thermal management; scientific software; commercialization; collaboration",https://science.osti.gov/grants/FOAs/Open,Open-FOA list checked August 12 2026. Keep as a partner watch only; do not route as a university-led opportunity.
