opportunity_id,program,sponsor,faculty_id,faculty_name,score,matched_keywords,rationale
opp-doe-cmma-ta2-2026,Critical Minerals & Materials Accelerator Topic Area 2,U.S. Department of Energy,fac-david-huitink,David Huitink,0.571,advanced materials; manufacturing; process technology; semiconductors,"David Huitink matches Critical Minerals & Materials Accelerator Topic Area 2 through shared terms: advanced materials, manufacturing, process technology, semiconductors."
opp-doe-cmma-ta2-2026,Critical Minerals & Materials Accelerator Topic Area 2,U.S. Department of Energy,fac-min-zou,Min Zou,0.429,advanced materials; critical materials; manufacturing,"Min Zou matches Critical Minerals & Materials Accelerator Topic Area 2 through shared terms: advanced materials, critical materials, manufacturing."
opp-doe-cmma-ta2-2026,Critical Minerals & Materials Accelerator Topic Area 2,U.S. Department of Energy,fac-xiangbo-meng,Xiangbo Meng,0.429,advanced materials; critical materials; semiconductors,"Xiangbo Meng matches Critical Minerals & Materials Accelerator Topic Area 2 through shared terms: advanced materials, critical materials, semiconductors."
opp-doe-cmma-ta2-2026,Critical Minerals & Materials Accelerator Topic Area 2,U.S. Department of Energy,fac-wan-shou,Wan Shou,0.286,manufacturing; process technology,"Wan Shou matches Critical Minerals & Materials Accelerator Topic Area 2 through shared terms: manufacturing, process technology."
opp-doe-cmma-ta2-2026,Critical Minerals & Materials Accelerator Topic Area 2,U.S. Department of Energy,fac-wenchao-zhou,Wenchao Zhou,0.286,manufacturing; process technology,"Wenchao Zhou matches Critical Minerals & Materials Accelerator Topic Area 2 through shared terms: manufacturing, process technology."
opp-doe-cmma-ta2-2026,Critical Minerals & Materials Accelerator Topic Area 2,U.S. Department of Energy,fac-paul-millett,Paul Millett,0.143,critical materials,Paul Millett matches Critical Minerals & Materials Accelerator Topic Area 2 through shared terms: critical materials.
opp-doe-cmma-ta3-2026,Critical Minerals & Materials Accelerator Topic Area 3,U.S. Department of Energy,fac-xiangbo-meng,Xiangbo Meng,0.286,critical materials; lithium extraction,"Xiangbo Meng matches Critical Minerals & Materials Accelerator Topic Area 3 through shared terms: critical materials, lithium extraction."
opp-doe-cmma-ta3-2026,Critical Minerals & Materials Accelerator Topic Area 3,U.S. Department of Energy,fac-darin-nutter,Darin Nutter,0.143,technoeconomic analysis,Darin Nutter matches Critical Minerals & Materials Accelerator Topic Area 3 through shared terms: technoeconomic analysis.
opp-doe-cmma-ta3-2026,Critical Minerals & Materials Accelerator Topic Area 3,U.S. Department of Energy,fac-min-zou,Min Zou,0.143,critical materials,Min Zou matches Critical Minerals & Materials Accelerator Topic Area 3 through shared terms: critical materials.
opp-doe-cmma-ta3-2026,Critical Minerals & Materials Accelerator Topic Area 3,U.S. Department of Energy,fac-paul-millett,Paul Millett,0.143,critical materials,Paul Millett matches Critical Minerals & Materials Accelerator Topic Area 3 through shared terms: critical materials.
opp-doe-sc-sbir-phaseii-2026,FY26 SBIR/STTR Phase II Applications from FY26 Phase I Awards,U.S. Department of Energy Office of Science,fac-david-huitink,David Huitink,0.125,materials,David Huitink matches FY26 SBIR/STTR Phase II Applications from FY26 Phase I Awards through shared terms: materials.
