opportunity_id,program,sponsor,faculty_id,faculty_name,score,fit_level,matched_keyword_count,matched_keywords,rationale
opp-doe-aspect-2026,Accelerating Scale-up and Pre-piloting of Emerging Chemical Technologies (ASPECT),U.S. Department of Energy,fac-darin-nutter,Darin Nutter,0.25,promising,2,energy efficiency; technoeconomic analysis,"Darin Nutter matches Accelerating Scale-up and Pre-piloting of Emerging Chemical Technologies (ASPECT) through shared terms: energy efficiency, technoeconomic analysis."
opp-doe-aspect-2026,Accelerating Scale-up and Pre-piloting of Emerging Chemical Technologies (ASPECT),U.S. Department of Energy,fac-david-huitink,David Huitink,0.25,promising,2,manufacturing; process technology,"David Huitink matches Accelerating Scale-up and Pre-piloting of Emerging Chemical Technologies (ASPECT) through shared terms: manufacturing, process technology."
opp-doe-aspect-2026,Accelerating Scale-up and Pre-piloting of Emerging Chemical Technologies (ASPECT),U.S. Department of Energy,fac-wan-shou,Wan Shou,0.25,promising,2,manufacturing; process technology,"Wan Shou matches Accelerating Scale-up and Pre-piloting of Emerging Chemical Technologies (ASPECT) through shared terms: manufacturing, process technology."
opp-doe-aspect-2026,Accelerating Scale-up and Pre-piloting of Emerging Chemical Technologies (ASPECT),U.S. Department of Energy,fac-wenchao-zhou,Wenchao Zhou,0.25,promising,2,manufacturing; process technology,"Wenchao Zhou matches Accelerating Scale-up and Pre-piloting of Emerging Chemical Technologies (ASPECT) through shared terms: manufacturing, process technology."
opp-doe-aspect-2026,Accelerating Scale-up and Pre-piloting of Emerging Chemical Technologies (ASPECT),U.S. Department of Energy,fac-min-zou,Min Zou,0.125,exploratory,1,manufacturing,Min Zou matches Accelerating Scale-up and Pre-piloting of Emerging Chemical Technologies (ASPECT) through shared terms: manufacturing.
opp-doe-aspect-2026,Accelerating Scale-up and Pre-piloting of Emerging Chemical Technologies (ASPECT),U.S. Department of Energy,fac-xiangbo-meng,Xiangbo Meng,0.125,exploratory,1,energy,Xiangbo Meng matches Accelerating Scale-up and Pre-piloting of Emerging Chemical Technologies (ASPECT) through shared terms: energy.
opp-netl-university-training-2026,Annual Recurring University Training and Research,U.S. Department of Energy National Energy Technology Laboratory,fac-david-huitink,David Huitink,0.333,promising,3,manufacturing; materials; thermal systems,"David Huitink matches Annual Recurring University Training and Research through shared terms: manufacturing, materials, thermal systems."
opp-netl-university-training-2026,Annual Recurring University Training and Research,U.S. Department of Energy National Energy Technology Laboratory,fac-min-zou,Min Zou,0.222,exploratory,2,manufacturing; materials,"Min Zou matches Annual Recurring University Training and Research through shared terms: manufacturing, materials."
opp-netl-university-training-2026,Annual Recurring University Training and Research,U.S. Department of Energy National Energy Technology Laboratory,fac-wenchao-zhou,Wenchao Zhou,0.222,exploratory,2,manufacturing; materials,"Wenchao Zhou matches Annual Recurring University Training and Research through shared terms: manufacturing, materials."
opp-netl-university-training-2026,Annual Recurring University Training and Research,U.S. Department of Energy National Energy Technology Laboratory,fac-han-hu,Han Hu,0.111,exploratory,1,instrumentation,Han Hu matches Annual Recurring University Training and Research through shared terms: instrumentation.
opp-netl-university-training-2026,Annual Recurring University Training and Research,U.S. Department of Energy National Energy Technology Laboratory,fac-wan-shou,Wan Shou,0.111,exploratory,1,manufacturing,Wan Shou matches Annual Recurring University Training and Research through shared terms: manufacturing.
opp-netl-university-training-2026,Annual Recurring University Training and Research,U.S. Department of Energy National Energy Technology Laboratory,fac-xiangbo-meng,Xiangbo Meng,0.111,exploratory,1,energy,Xiangbo Meng matches Annual Recurring University Training and Research through shared terms: energy.
opp-nsf-cbet-2026,Engineering (ENG): Chemical Bioengineering Energy and Transport Systems (CBET),National Science Foundation,fac-han-hu,Han Hu,0.444,promising,4,energy systems; heat transfer; multiphase flow; thermal fluids,"Han Hu matches Engineering (ENG): Chemical Bioengineering Energy and Transport Systems (CBET) through shared terms: energy systems, heat transfer, multiphase flow, thermal fluids."
opp-nsf-cbet-2026,Engineering (ENG): Chemical Bioengineering Energy and Transport Systems (CBET),National Science Foundation,fac-darin-nutter,Darin Nutter,0.222,exploratory,2,energy efficiency; energy systems,"Darin Nutter matches Engineering (ENG): Chemical Bioengineering Energy and Transport Systems (CBET) through shared terms: energy efficiency, energy systems."
opp-nsf-cbet-2026,Engineering (ENG): Chemical Bioengineering Energy and Transport Systems (CBET),National Science Foundation,fac-david-huitink,David Huitink,0.111,exploratory,1,materials,David Huitink matches Engineering (ENG): Chemical Bioengineering Energy and Transport Systems (CBET) through shared terms: materials.
opp-nsf-cbet-2026,Engineering (ENG): Chemical Bioengineering Energy and Transport Systems (CBET),National Science Foundation,fac-min-zou,Min Zou,0.111,exploratory,1,materials,Min Zou matches Engineering (ENG): Chemical Bioengineering Energy and Transport Systems (CBET) through shared terms: materials.
opp-nsf-cbet-2026,Engineering (ENG): Chemical Bioengineering Energy and Transport Systems (CBET),National Science Foundation,fac-wenchao-zhou,Wenchao Zhou,0.111,exploratory,1,materials,Wenchao Zhou matches Engineering (ENG): Chemical Bioengineering Energy and Transport Systems (CBET) through shared terms: materials.
opp-nsf-cmmi-2026,Engineering (ENG): Civil Mechanical and Manufacturing Innovation (CMMI),National Science Foundation,fac-david-huitink,David Huitink,0.375,promising,3,advanced manufacturing; manufacturing; materials,"David Huitink matches Engineering (ENG): Civil Mechanical and Manufacturing Innovation (CMMI) through shared terms: advanced manufacturing, manufacturing, materials."
opp-nsf-cmmi-2026,Engineering (ENG): Civil Mechanical and Manufacturing Innovation (CMMI),National Science Foundation,fac-wenchao-zhou,Wenchao Zhou,0.375,promising,3,advanced manufacturing; manufacturing; materials,"Wenchao Zhou matches Engineering (ENG): Civil Mechanical and Manufacturing Innovation (CMMI) through shared terms: advanced manufacturing, manufacturing, materials."
opp-nsf-cmmi-2026,Engineering (ENG): Civil Mechanical and Manufacturing Innovation (CMMI),National Science Foundation,fac-anthony-gunderman,Anthony Gunderman,0.25,promising,2,robotics; systems engineering,"Anthony Gunderman matches Engineering (ENG): Civil Mechanical and Manufacturing Innovation (CMMI) through shared terms: robotics, systems engineering."
opp-nsf-cmmi-2026,Engineering (ENG): Civil Mechanical and Manufacturing Innovation (CMMI),National Science Foundation,fac-david-jensen,David Jensen,0.25,promising,2,engineering design; systems engineering,"David Jensen matches Engineering (ENG): Civil Mechanical and Manufacturing Innovation (CMMI) through shared terms: engineering design, systems engineering."
opp-nsf-cmmi-2026,Engineering (ENG): Civil Mechanical and Manufacturing Innovation (CMMI),National Science Foundation,fac-min-zou,Min Zou,0.25,promising,2,manufacturing; materials,"Min Zou matches Engineering (ENG): Civil Mechanical and Manufacturing Innovation (CMMI) through shared terms: manufacturing, materials."
opp-nsf-cmmi-2026,Engineering (ENG): Civil Mechanical and Manufacturing Innovation (CMMI),National Science Foundation,fac-wan-shou,Wan Shou,0.25,promising,2,advanced manufacturing; manufacturing,"Wan Shou matches Engineering (ENG): Civil Mechanical and Manufacturing Innovation (CMMI) through shared terms: advanced manufacturing, manufacturing."
opp-nsf-cmmi-2026,Engineering (ENG): Civil Mechanical and Manufacturing Innovation (CMMI),National Science Foundation,fac-neelakshi-majumdar,Neelakshi Majumdar,0.125,exploratory,1,systems engineering,Neelakshi Majumdar matches Engineering (ENG): Civil Mechanical and Manufacturing Innovation (CMMI) through shared terms: systems engineering.
opp-nsf-eclipse-2026,ECosystem for Leading Innovation in Plasma Science and Engineering (ECLIPSE),National Science Foundation,fac-david-huitink,David Huitink,0.286,promising,2,manufacturing; materials,"David Huitink matches ECosystem for Leading Innovation in Plasma Science and Engineering (ECLIPSE) through shared terms: manufacturing, materials."
opp-nsf-eclipse-2026,ECosystem for Leading Innovation in Plasma Science and Engineering (ECLIPSE),National Science Foundation,fac-min-zou,Min Zou,0.286,promising,2,manufacturing; materials,"Min Zou matches ECosystem for Leading Innovation in Plasma Science and Engineering (ECLIPSE) through shared terms: manufacturing, materials."
opp-nsf-eclipse-2026,ECosystem for Leading Innovation in Plasma Science and Engineering (ECLIPSE),National Science Foundation,fac-wenchao-zhou,Wenchao Zhou,0.286,promising,2,manufacturing; materials,"Wenchao Zhou matches ECosystem for Leading Innovation in Plasma Science and Engineering (ECLIPSE) through shared terms: manufacturing, materials."
opp-nsf-eclipse-2026,ECosystem for Leading Innovation in Plasma Science and Engineering (ECLIPSE),National Science Foundation,fac-wan-shou,Wan Shou,0.143,exploratory,1,manufacturing,Wan Shou matches ECosystem for Leading Innovation in Plasma Science and Engineering (ECLIPSE) through shared terms: manufacturing.
opp-nsf-eclipse-2026,ECosystem for Leading Innovation in Plasma Science and Engineering (ECLIPSE),National Science Foundation,fac-xiangbo-meng,Xiangbo Meng,0.143,exploratory,1,energy,Xiangbo Meng matches ECosystem for Leading Innovation in Plasma Science and Engineering (ECLIPSE) through shared terms: energy.
opp-nsf-efri-wbc-2027,Emerging Frontiers in Research and Innovation (EFRI): Wave-Based Computing,National Science Foundation,fac-david-huitink,David Huitink,0.2,exploratory,2,manufacturing; materials,"David Huitink matches Emerging Frontiers in Research and Innovation (EFRI): Wave-Based Computing through shared terms: manufacturing, materials."
opp-nsf-efri-wbc-2027,Emerging Frontiers in Research and Innovation (EFRI): Wave-Based Computing,National Science Foundation,fac-han-hu,Han Hu,0.2,exploratory,2,ai; machine learning,"Han Hu matches Emerging Frontiers in Research and Innovation (EFRI): Wave-Based Computing through shared terms: ai, machine learning."
opp-nsf-efri-wbc-2027,Emerging Frontiers in Research and Innovation (EFRI): Wave-Based Computing,National Science Foundation,fac-min-zou,Min Zou,0.2,exploratory,2,manufacturing; materials,"Min Zou matches Emerging Frontiers in Research and Innovation (EFRI): Wave-Based Computing through shared terms: manufacturing, materials."
opp-nsf-efri-wbc-2027,Emerging Frontiers in Research and Innovation (EFRI): Wave-Based Computing,National Science Foundation,fac-wenchao-zhou,Wenchao Zhou,0.2,exploratory,2,manufacturing; materials,"Wenchao Zhou matches Emerging Frontiers in Research and Innovation (EFRI): Wave-Based Computing through shared terms: manufacturing, materials."
opp-nsf-efri-wbc-2027,Emerging Frontiers in Research and Innovation (EFRI): Wave-Based Computing,National Science Foundation,fac-anthony-gunderman,Anthony Gunderman,0.1,exploratory,1,sensing,Anthony Gunderman matches Emerging Frontiers in Research and Innovation (EFRI): Wave-Based Computing through shared terms: sensing.
opp-nsf-efri-wbc-2027,Emerging Frontiers in Research and Innovation (EFRI): Wave-Based Computing,National Science Foundation,fac-darin-nutter,Darin Nutter,0.1,exploratory,1,energy efficiency,Darin Nutter matches Emerging Frontiers in Research and Innovation (EFRI): Wave-Based Computing through shared terms: energy efficiency.
opp-nsf-efri-wbc-2027,Emerging Frontiers in Research and Innovation (EFRI): Wave-Based Computing,National Science Foundation,fac-david-jensen,David Jensen,0.1,exploratory,1,ai,David Jensen matches Emerging Frontiers in Research and Innovation (EFRI): Wave-Based Computing through shared terms: ai.
opp-nsf-efri-wbc-2027,Emerging Frontiers in Research and Innovation (EFRI): Wave-Based Computing,National Science Foundation,fac-neelakshi-majumdar,Neelakshi Majumdar,0.1,exploratory,1,sensing,Neelakshi Majumdar matches Emerging Frontiers in Research and Innovation (EFRI): Wave-Based Computing through shared terms: sensing.
opp-nsf-efri-wbc-2027,Emerging Frontiers in Research and Innovation (EFRI): Wave-Based Computing,National Science Foundation,fac-wan-shou,Wan Shou,0.1,exploratory,1,manufacturing,Wan Shou matches Emerging Frontiers in Research and Innovation (EFRI): Wave-Based Computing through shared terms: manufacturing.
opp-usda-part-2026,Powering Affordable Reliable Technology (PART) Energy Program,U.S. Department of Agriculture Rural Utilities Service,fac-darin-nutter,Darin Nutter,0.25,promising,2,energy systems; technoeconomic analysis,"Darin Nutter matches Powering Affordable Reliable Technology (PART) Energy Program through shared terms: energy systems, technoeconomic analysis."
opp-usda-part-2026,Powering Affordable Reliable Technology (PART) Energy Program,U.S. Department of Agriculture Rural Utilities Service,fac-han-hu,Han Hu,0.125,exploratory,1,energy systems,Han Hu matches Powering Affordable Reliable Technology (PART) Energy Program through shared terms: energy systems.
